[11:00:24,264] WARN  {KConfig} missing:system.aggregator.ip
[11:17:17,224] WARN  {KConfig} missing:system.aggregator.ip
[11:17:17,225] INFO  {NodeHostComp} <1> initializing with seed:1
[11:17:17,230] INFO  {NodeComp} <193.10.67.178:20001<1>> initiating with self:193.10.67.178:20001<1>OP ping:[se.sics.example.nat.node.util.PingContainer@48a242ce]
[11:17:17,234] INFO  {NodeHostComp} <1> starting...
[11:17:17,234] INFO  {NodeComp} <193.10.67.178:20001<1>> starting
[11:17:18,241] INFO  {NodeComp} <193.10.67.178:20001<1>> pinging from:193.10.67.178:20001<1>OP to:193.10.67.178:20002<2>OP
[11:17:18,422] INFO  {NettyNetwork@20001} Successfully bound to ip:port /193.10.67.178:20001
[11:17:18,436] INFO  {NettyNetwork@20001} Successfully bound UDT to ip:port /193.10.67.178:54776 with config: {AUTO_READ=true, WRITE_BUFFER_HIGH_WATER_MARK=65536, io.netty.channel.udt.UdtChannelOption#PROTOCOL_RECEIVE_BUFFER_SIZE=10485760, WRITE_SPIN_COUNT=16, io.netty.channel.udt.UdtChannelOption#SYSTEM_SEND_BUFFER_SIZE=1048576, ALLOCATOR=PooledByteBufAllocator(directByDefault: true), WRITE_BUFFER_LOW_WATER_MARK=32768, MESSAGE_SIZE_ESTIMATOR=io.netty.channel.DefaultMessageSizeEstimator@72953b61, RCVBUF_ALLOCATOR=io.netty.channel.AdaptiveRecvByteBufAllocator@37f9ce0, SO_SNDBUF=131072, SO_RCVBUF=131072, SO_BACKLOG=64, io.netty.channel.udt.UdtChannelOption#PROTOCOL_SEND_BUFFER_SIZE=10485760, io.netty.channel.udt.UdtChannelOption#SYSTEM_RECEIVE_BUFFER_SIZE=1048576, CONNECT_TIMEOUT_MILLIS=30000, MAX_MESSAGES_PER_READ=16, SO_LINGER=0, SO_REUSEADDR=true}
[11:17:18,454] INFO  {NettyNetwork@20001} Successfully bound to ip:port /193.10.67.178:20001
[11:17:19,238] INFO  {NodeComp} <193.10.67.178:20001<1>> pinging from:193.10.67.178:20001<1>OP to:193.10.67.178:20002<2>OP
[11:17:20,238] INFO  {NodeComp} <193.10.67.178:20001<1>> pinging from:193.10.67.178:20001<1>OP to:193.10.67.178:20002<2>OP
[11:17:21,239] INFO  {NodeComp} <193.10.67.178:20001<1>> pinging from:193.10.67.178:20001<1>OP to:193.10.67.178:20002<2>OP
[11:17:22,238] INFO  {NodeComp} <193.10.67.178:20001<1>> pinging from:193.10.67.178:20001<1>OP to:193.10.67.178:20002<2>OP
[11:17:22,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[se.sics.example.nat.node.util.PingContainer@48a242ce] ponged:[] missed:[] unfeasible:[]
[11:17:27,240] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:27,895] WARN  {KConfig} missing:system.aggregator.ip
[11:17:27,897] INFO  {NodeHostComp} <2> initializing with seed:2
[11:17:27,902] INFO  {NodeComp} <193.10.67.178:20002<2>> initiating with self:193.10.67.178:20002<2>OP ping:[se.sics.example.nat.node.util.PingContainer@48a242ce]
[11:17:27,906] INFO  {NodeHostComp} <2> starting...
[11:17:27,906] INFO  {NodeComp} <193.10.67.178:20002<2>> starting
[11:17:28,018] INFO  {NettyNetwork@20002} Successfully bound to ip:port /193.10.67.178:20002
[11:17:28,043] INFO  {NettyNetwork@20002} Successfully bound UDT to ip:port /193.10.67.178:50402 with config: {SO_SNDBUF=131072, ALLOCATOR=PooledByteBufAllocator(directByDefault: true), io.netty.channel.udt.UdtChannelOption#PROTOCOL_SEND_BUFFER_SIZE=10485760, io.netty.channel.udt.UdtChannelOption#PROTOCOL_RECEIVE_BUFFER_SIZE=10485760, WRITE_BUFFER_HIGH_WATER_MARK=65536, io.netty.channel.udt.UdtChannelOption#SYSTEM_SEND_BUFFER_SIZE=1048576, SO_LINGER=0, WRITE_BUFFER_LOW_WATER_MARK=32768, AUTO_READ=true, RCVBUF_ALLOCATOR=io.netty.channel.AdaptiveRecvByteBufAllocator@3a8f7b08, MESSAGE_SIZE_ESTIMATOR=io.netty.channel.DefaultMessageSizeEstimator@1124698f, io.netty.channel.udt.UdtChannelOption#SYSTEM_RECEIVE_BUFFER_SIZE=1048576, MAX_MESSAGES_PER_READ=16, WRITE_SPIN_COUNT=16, CONNECT_TIMEOUT_MILLIS=30000, SO_BACKLOG=64, SO_RCVBUF=131072, SO_REUSEADDR=true}
[11:17:28,062] INFO  {NettyNetwork@20002} Successfully bound to ip:port /193.10.67.178:20002
[11:17:28,912] INFO  {NodeComp} <193.10.67.178:20002<2>> pinging from:193.10.67.178:20002<2>OP to:193.10.67.178:20003<3>OP
[11:17:29,909] INFO  {NodeComp} <193.10.67.178:20002<2>> pinging from:193.10.67.178:20002<2>OP to:193.10.67.178:20003<3>OP
[11:17:30,910] INFO  {NodeComp} <193.10.67.178:20002<2>> pinging from:193.10.67.178:20002<2>OP to:193.10.67.178:20003<3>OP
[11:17:31,911] INFO  {NodeComp} <193.10.67.178:20002<2>> pinging from:193.10.67.178:20002<2>OP to:193.10.67.178:20003<3>OP
[11:17:32,241] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:32,908] INFO  {NodeComp} <193.10.67.178:20002<2>> pinging from:193.10.67.178:20002<2>OP to:193.10.67.178:20003<3>OP
[11:17:32,909] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[se.sics.example.nat.node.util.PingContainer@48a242ce] ponged:[] missed:[] unfeasible:[]
[11:17:37,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:37,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:17:42,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:42,912] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:17:47,235] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:47,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:17:49,168] WARN  {KConfig} missing:system.aggregator.ip
[11:17:49,169] INFO  {NodeHostComp} <3> initializing with seed:3
[11:17:49,184] INFO  {NodeComp} <193.10.67.178:20003<3>> initiating with self:193.10.67.178:20003<3>OP ping:[se.sics.example.nat.node.util.PingContainer@48a242ce]
[11:17:49,190] INFO  {NodeHostComp} <3> starting...
[11:17:49,190] INFO  {NodeComp} <193.10.67.178:20003<3>> starting
[11:17:49,280] INFO  {NettyNetwork@20003} Successfully bound to ip:port /193.10.67.178:20003
[11:17:49,298] INFO  {NettyNetwork@20003} Successfully bound UDT to ip:port /193.10.67.178:59092 with config: {MAX_MESSAGES_PER_READ=16, io.netty.channel.udt.UdtChannelOption#SYSTEM_RECEIVE_BUFFER_SIZE=1048576, SO_RCVBUF=131072, SO_SNDBUF=131072, AUTO_READ=true, SO_REUSEADDR=true, SO_LINGER=0, MESSAGE_SIZE_ESTIMATOR=io.netty.channel.DefaultMessageSizeEstimator@6b933e3, WRITE_BUFFER_HIGH_WATER_MARK=65536, ALLOCATOR=PooledByteBufAllocator(directByDefault: true), io.netty.channel.udt.UdtChannelOption#SYSTEM_SEND_BUFFER_SIZE=1048576, RCVBUF_ALLOCATOR=io.netty.channel.AdaptiveRecvByteBufAllocator@1547937b, SO_BACKLOG=64, WRITE_BUFFER_LOW_WATER_MARK=32768, CONNECT_TIMEOUT_MILLIS=30000, io.netty.channel.udt.UdtChannelOption#PROTOCOL_RECEIVE_BUFFER_SIZE=10485760, io.netty.channel.udt.UdtChannelOption#PROTOCOL_SEND_BUFFER_SIZE=10485760, WRITE_SPIN_COUNT=16}
[11:17:49,325] INFO  {NettyNetwork@20003} Successfully bound to ip:port /193.10.67.178:20003
[11:17:50,194] INFO  {NodeComp} <193.10.67.178:20003<3>> pinging from:193.10.67.178:20003<3>OP to:193.10.67.178:20001<1>OP
[11:17:50,261] INFO  {NodeComp} <193.10.67.178:20001<1>> ping from:193.10.67.178:20003<3>OP on:193.10.67.178:20001<1>OP
[11:17:50,277] INFO  {NodeComp} <193.10.67.178:20003<3>> pong from:193.10.67.178:20001<1>OP on:193.10.67.178:20003<3>OP
[11:17:52,243] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:52,911] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:17:54,191] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:17:57,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:17:57,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:17:59,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:02,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:02,917] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:04,194] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:07,239] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:07,908] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:09,193] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:12,236] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:12,910] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:14,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:17,237] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:17,908] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:19,196] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:22,236] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
[11:18:22,909] INFO  {NodeComp} <193.10.67.178:20002<2>>  pending:[] ponged:[] missed:[193.10.67.178:20003<3>OP] unfeasible:[]
[11:18:24,191] INFO  {NodeComp} <193.10.67.178:20003<3>>  pending:[] ponged:[193.10.67.178:20001<1>OP] missed:[] unfeasible:[]
[11:18:27,238] INFO  {NodeComp} <193.10.67.178:20001<1>>  pending:[] ponged:[] missed:[193.10.67.178:20002<2>OP] unfeasible:[]
